Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,G,,,,,,,
ARI,NL,2013,685,695,81,0.323,0.391,0.259,0,162,,,,,,,
ATL,NL,2013,688,548,96,0.321,0.402,0.249,1,162,,,,,,,
BAL,AL,2013,745,709,85,0.313,0.431,0.26,0,162,,,,,,,
BOS,AL,2013,853,656,97,0.349,0.446,0.277,1,162,,,,,,,
CHC,NL,2013,602,689,66,0.3,0.392,0.238,0,162,,,,,,,
CHW,AL,2013,598,723,63,0.302,0.378,0.249,0,162,,,,,,,
CIN,NL,2013,698,589,90,0.327,0.391,0.249,1,162,,,,,,,
CLE,AL,2013,745,662,92,0.327,0.41,0.255,1,162,,,,,,,
COL,NL,2013,706,760,74,0.323,0.418,0.27,0,162,,,,,,,
DET,AL,2013,796,624,93,0.346,0.434,0.283,1,162,,,,,,,
HOU,NL,2013,610,848,51,0.299,0.375,0.24,0,162,,,,,,,
KCR,AL,2013,648,601,86,0.315,0.379,0.26,0,162,,,,,,,
LAA,AL,2013,733,737,78,0.329,0.414,0.264,0,162,,,,,,,
LAD,NL,2013,649,582,92,0.326,0.396,0.264,1,162,,,,,,,
MIA,NL,2013,513,646,62,0.293,0.335,0.231,0,162,,,,,,,
MIL,NL,2013,640,687,74,0.311,0.398,0.252,0,162,,,,,,,
MIN,AL,2013,614,788,66,0.312,0.38,0.242,0,162,,,,,,,
NYM,NL,2013,619,684,74,0.306,0.366,0.237,0,162,,,,,,,
NYY,AL,2013,650,671,85,0.307,0.376,0.242,0,162,,,,,,,
OAK,AL,2013,767,625,96,0.327,0.419,0.254,1,162,,,,,,,
PHI,NL,2013,610,749,73,0.306,0.384,0.248,0,162,,,,,,,
PIT,NL,2013,634,577,94,0.313,0.396,0.245,1,162,,,,,,,
SDP,NL,2013,618,700,76,0.308,0.378,0.245,0,162,,,,,,,
SEA,AL,2013,624,754,71,0.306,0.39,0.237,0,162,,,,,,,
SFG,NL,2013,629,691,76,0.32,0.381,0.26,0,162,,,,,,,
STL,NL,2013,783,596,97,0.332,0.401,0.269,1,162,,,,,,,
TBR,AL,2013,700,646,92,0.329,0.408,0.257,1,163,,,,,,,
TEX,AL,2013,730,636,91,0.323,0.412,0.262,0,163,,,,,,,
TOR,AL,2013,712,756,74,0.318,0.411,0.252,0,162,,,,,,,
WSN,NL,2013,65,626,86,0.313,0.398,0.251,0,162,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
